id,Name,service_type_id (Name),calculate_type,standard_price,branch_id,booking_day_mon,booking_day_tue,booking_day_wed,booking_day_thu,booking_day_fri,booking_day_sat,booking_day_sun,start_booking_time,end_booking_time,reserve_booking_duration,start_date,end_date,is_used_application,fix_days,fix_return_time,status,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by,GL Account
,เช่าขับเอง รายวัน (Toyota Vios),เช่าขับเอง,DAILY," 1,369.60 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (Toyota Altis),เช่าขับเอง,DAILY," 1,690.60 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (Toyota Camry),เช่าขับเอง,DAILY," 2,503.80 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (Toyota Fortuner),เช่าขับเอง,DAILY," 3,092.30 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (Toyota Sienta),เช่าขับเอง,DAILY," 1,712.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (Toyota CH-R),เช่าขับเอง,DAILY," 2,118.60 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (MG 3),เช่าขับเอง,DAILY," 1,230.50 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (MG 5),เช่าขับเอง,DAILY," 1,722.70 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (MG ZS),เช่าขับเอง,DAILY," 1,968.80 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (Toyota Hilux Revo Standard cap),เช่าขับเอง,DAILY," 1,786.90 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (Toyota Hilux Revo Smart cap),เช่าขับเอง,DAILY," 1,904.60 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายวัน (Toyota Hilux Revo Double cap),เช่าขับเอง,DAILY," 2,214.90 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - chiang rai
,เช่าขับเอง รายเดือน (Toyota Yaris),เช่าขับเอง,MONTHLY," 18,404.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Vios),เช่าขับเอง,MONTHLY," 19,367.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Altis),เช่าขับเอง,MONTHLY," 26,643.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Camry),เช่าขับเอง,MONTHLY," 34,240.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Fortuner),เช่าขับเอง,MONTHLY," 34,240.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Sienta),เช่าขับเอง,MONTHLY," 25,680.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota CH-R),เช่าขับเอง,MONTHLY," 31,779.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (MG 3),เช่าขับเอง,MONTHLY," 18,457.50 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (MG 5),เช่าขับเอง,MONTHLY," 25,840.50 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (MG ZS),เช่าขับเอง,MONTHLY," 29,532.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Standard cap),เช่าขับเอง,MONTHLY," 26,803.50 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Smart cap),เช่าขับเอง,MONTHLY," 28,569.00 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Double cap),เช่าขับเอง,MONTHLY," 33,223.50 ",สาขาท่าอากาศยานแม่ฟ้าหลวงเชียงราย,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายวัน (Toyota Yaris),เช่าขับเอง,DAILY," 1,284.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota Vios),เช่าขับเอง,DAILY," 1,369.60 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota Altis),เช่าขับเอง,DAILY," 1,690.60 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota Camry),เช่าขับเอง,DAILY," 2,503.80 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota Fortuner),เช่าขับเอง,DAILY," 3,092.30 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota Sienta),เช่าขับเอง,DAILY," 1,712.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota CH-R),เช่าขับเอง,DAILY," 2,118.60 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (MG 3),เช่าขับเอง,DAILY," 1,230.50 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (MG 5),เช่าขับเอง,DAILY," 1,722.70 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (MG ZS),เช่าขับเอง,DAILY," 1,968.80 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota Hilux Revo Standard cap),เช่าขับเอง,DAILY," 1,786.90 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota Hilux Revo Smart cap),เช่าขับเอง,DAILY," 1,904.60 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายวัน (Toyota Hilux Revo Double cap),เช่าขับเอง,DAILY," 2,214.90 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental daily - external
,เช่าขับเอง รายเดือน (Toyota Yaris),เช่าขับเอง,MONTHLY," 18,404.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Vios),เช่าขับเอง,MONTHLY," 19,367.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Altis),เช่าขับเอง,MONTHLY," 26,643.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Camry),เช่าขับเอง,MONTHLY," 34,240.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Fortuner),เช่าขับเอง,MONTHLY," 34,240.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Sienta),เช่าขับเอง,MONTHLY," 25,680.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota CH-R),เช่าขับเอง,MONTHLY," 31,779.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (MG 3),เช่าขับเอง,MONTHLY," 18,457.50 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (MG 5),เช่าขับเอง,MONTHLY," 25,840.50 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (MG ZS),เช่าขับเอง,MONTHLY," 29,532.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Standard cap),เช่าขับเอง,MONTHLY," 26,803.50 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Smart cap),เช่าขับเอง,MONTHLY," 28,569.00 ",สาขาภูเก็ต,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,7/12/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL,Service revenue - car rental monthly - external
